Total_Income,Total_Food_Expenditure,Restaurant_and_hotels_Expenditure,Alcoholic_Beverages_and_Tobacco_Expenditure,Clothing_Footwear_and_Other_Wear_Expenditure,House_Rent__Water_and_Electricity_Expenditure,Medical_Care_Expenditure,Transportation_Expenditure,Communication_Expenditure,Education_Expenditure,Miscellaneous_Goods_and_Services_Expenditure,Total_Expenses,Savings
165262.0,145104.0,10930.0,1006.0,5920.0,22476.0,140.0,12240.0,1740.0,9600.0,7152.0,216308.0,-51046.0
156872.0,176640.0,1695.0,3207.0,4900.0,16836.0,1000.0,2400.0,840.0,100.0,7908.0,215526.0,-58654.0
311598.0,194383.0,15800.0,416.0,2240.0,93600.0,170.0,9120.0,2280.0,0.0,35406.0,353415.0,-41817.0
824148.0,188686.0,15200.0,3620.0,13420.0,65550.0,2590.0,27660.0,13494.0,82000.0,70746.0,482966.0,341182.0
169790.0,173531.0,13990.0,5635.0,4580.0,53904.0,144.0,10812.0,1620.0,5500.0,10968.0,280684.0,-110894.0
132275.0,171566.0,9700.0,5640.0,7083.0,46596.0,205.0,14712.0,3864.0,8600.0,15732.0,283698.0,-151423.0
1095134.0,200210.0,11800.0,0.0,22830.0,68580.0,508.0,4560.0,1620.0,6000.0,4686.0,320794.0,774340.0
155495.0,128989.0,0.0,2715.0,2480.0,29340.0,440.0,8310.0,1020.0,0.0,3132.0,176426.0,-20931.0
1116607.0,269974.0,16620.0,2600.0,19520.0,154272.0,1315.0,87120.0,3900.0,17000.0,43458.0,615779.0,500828.0
272500.0,172107.0,24150.0,1848.0,5410.0,60942.0,6828.0,7440.0,4332.0,6000.0,20826.0,309883.0,-37383.0
968011.0,489418.0,35850.0,3210.0,18235.0,95280.0,4500.0,5058.0,3480.0,22500.0,33114.0,710645.0,257366.0
205570.0,137140.0,0.0,3214.0,4145.0,146718.0,960.0,57030.0,2760.0,0.0,2478.0,354445.0,-148875.0
547460.0,194385.0,8310.0,0.0,8760.0,68136.0,150.0,10398.0,2280.0,5500.0,4686.0,302605.0,244855.0
206490.0,159042.0,2190.0,7814.0,10800.0,86112.0,6120.0,5520.0,1920.0,5150.0,8778.0,293446.0,-86956.0
113020.0,141290.0,2990.0,6600.0,4180.0,33804.0,160.0,4824.0,1440.0,200.0,4116.0,199604.0,-86584.0
740110.0,344148.0,38560.0,2720.0,19775.0,126000.0,1060.0,6720.0,8640.0,34900.0,60954.0,643477.0,96633.0
523692.0,117461.0,375.0,0.0,1200.0,42120.0,1800.0,2202.0,2004.0,0.0,3900.0,171062.0,352630.0
100806.0,122817.0,5980.0,0.0,1010.0,31338.0,50.0,1980.0,564.0,280.0,3690.0,167709.0,-66903.0
510390.0,197217.0,1150.0,5206.0,2530.0,50490.0,6050.0,4680.0,2400.0,300.0,17640.0,287663.0,222727.0
730210.0,338485.0,22050.0,7240.0,11150.0,143982.0,4100.0,22140.0,12000.0,0.0,48186.0,609333.0,120877.0
113852.0,190885.0,14220.0,756.0,2760.0,21648.0,120.0,12120.0,672.0,400.0,5394.0,248975.0,-135123.0
